2026-03-03 09:31:05 | evaluator | STEP 1: updater start
2026-03-03 09:31:05 | spot_updater | API status 400
2026-03-03 09:31:05 | spot_updater | Candle not yet available: 2026-03-03 09:30:00
2026-03-03 09:31:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:31:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:31:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:31:05 | evaluator | STEP 3: mtm start
2026-03-03 09:31:05 | evaluator | STEP 3: mtm end
2026-03-03 09:31:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:31:05 | evaluator | CYCLE END
2026-03-03 09:31:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:31:05 | evaluator | 
2026-03-03 09:32:05 | evaluator | 
2026-03-03 09:32:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:32:05 | evaluator | CYCLE START
2026-03-03 09:32:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:32:05 | evaluator | STEP 1: updater start
2026-03-03 09:32:05 | spot_updater | API status 400
2026-03-03 09:32:05 | spot_updater | Candle not yet available: 2026-03-03 09:31:00
2026-03-03 09:32:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:32:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:32:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:32:05 | evaluator | STEP 3: mtm start
2026-03-03 09:32:05 | evaluator | STEP 3: mtm end
2026-03-03 09:32:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:32:05 | evaluator | CYCLE END
2026-03-03 09:32:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:32:05 | evaluator | 
2026-03-03 09:33:05 | evaluator | 
2026-03-03 09:33:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:33:05 | evaluator | CYCLE START
2026-03-03 09:33:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:33:05 | evaluator | STEP 1: updater start
2026-03-03 09:33:05 | spot_updater | API status 400
2026-03-03 09:33:05 | spot_updater | Candle not yet available: 2026-03-03 09:32:00
2026-03-03 09:33:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:33:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:33:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:33:05 | evaluator | STEP 3: mtm start
2026-03-03 09:33:05 | evaluator | STEP 3: mtm end
2026-03-03 09:33:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:33:05 | evaluator | CYCLE END
2026-03-03 09:33:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:33:05 | evaluator | 
2026-03-03 09:34:05 | evaluator | 
2026-03-03 09:34:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:34:05 | evaluator | CYCLE START
2026-03-03 09:34:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:34:05 | evaluator | STEP 1: updater start
2026-03-03 09:34:05 | spot_updater | API status 400
2026-03-03 09:34:05 | spot_updater | Candle not yet available: 2026-03-03 09:33:00
2026-03-03 09:34:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:34:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:34:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:34:05 | evaluator | STEP 3: mtm start
2026-03-03 09:34:05 | evaluator | STEP 3: mtm end
2026-03-03 09:34:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:34:05 | evaluator | CYCLE END
2026-03-03 09:34:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:34:05 | evaluator | 
2026-03-03 09:35:05 | evaluator | 
2026-03-03 09:35:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:35:05 | evaluator | CYCLE START
2026-03-03 09:35:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:35:05 | evaluator | STEP 1: updater start
2026-03-03 09:35:05 | spot_updater | API status 400
2026-03-03 09:35:05 | spot_updater | Candle not yet available: 2026-03-03 09:34:00
2026-03-03 09:35:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:35:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:35:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:35:05 | evaluator | STEP 3: mtm start
2026-03-03 09:35:05 | evaluator | STEP 3: mtm end
2026-03-03 09:35:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:35:05 | evaluator | CYCLE END
2026-03-03 09:35:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:35:05 | evaluator | 
2026-03-03 09:36:05 | evaluator | 
2026-03-03 09:36:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:36:05 | evaluator | CYCLE START
2026-03-03 09:36:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:36:05 | evaluator | STEP 1: updater start
2026-03-03 09:36:05 | spot_updater | API status 400
2026-03-03 09:36:05 | spot_updater | Candle not yet available: 2026-03-03 09:35:00
2026-03-03 09:36:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:36:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:36:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:36:05 | evaluator | STEP 3: mtm start
2026-03-03 09:36:05 | evaluator | STEP 3: mtm end
2026-03-03 09:36:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:36:05 | evaluator | CYCLE END
2026-03-03 09:36:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:36:05 | evaluator | 
2026-03-03 09:37:05 | evaluator | 
2026-03-03 09:37:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:37:05 | evaluator | CYCLE START
2026-03-03 09:37:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:37:05 | evaluator | STEP 1: updater start
2026-03-03 09:37:05 | spot_updater | API status 400
2026-03-03 09:37:05 | spot_updater | Candle not yet available: 2026-03-03 09:36:00
2026-03-03 09:37:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:37:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:37:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:37:05 | evaluator | STEP 3: mtm start
2026-03-03 09:37:05 | evaluator | STEP 3: mtm end
2026-03-03 09:37:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:37:05 | evaluator | CYCLE END
2026-03-03 09:37:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:37:05 | evaluator | 
2026-03-03 09:38:05 | evaluator | 
2026-03-03 09:38:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:38:05 | evaluator | CYCLE START
2026-03-03 09:38:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:38:05 | evaluator | STEP 1: updater start
2026-03-03 09:38:05 | spot_updater | API status 400
2026-03-03 09:38:05 | spot_updater | Candle not yet available: 2026-03-03 09:37:00
2026-03-03 09:38:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:38:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:38:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:38:05 | evaluator | STEP 3: mtm start
2026-03-03 09:38:05 | evaluator | STEP 3: mtm end
2026-03-03 09:38:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:38:05 | evaluator | CYCLE END
2026-03-03 09:38:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:38:05 | evaluator | 
2026-03-03 09:39:05 | evaluator | 
2026-03-03 09:39:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:39:05 | evaluator | CYCLE START
2026-03-03 09:39:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:39:05 | evaluator | STEP 1: updater start
2026-03-03 09:39:05 | spot_updater | API status 400
2026-03-03 09:39:05 | spot_updater | Candle not yet available: 2026-03-03 09:38:00
2026-03-03 09:39:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:39:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:39:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:39:05 | evaluator | STEP 3: mtm start
2026-03-03 09:39:05 | evaluator | STEP 3: mtm end
2026-03-03 09:39:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:39:05 | evaluator | CYCLE END
2026-03-03 09:39:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:39:05 | evaluator | 
2026-03-03 09:40:05 | evaluator | 
2026-03-03 09:40:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:40:05 | evaluator | CYCLE START
2026-03-03 09:40:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:40:05 | evaluator | STEP 1: updater start
2026-03-03 09:40:05 | spot_updater | API status 400
2026-03-03 09:40:05 | spot_updater | Candle not yet available: 2026-03-03 09:39:00
2026-03-03 09:40:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:40:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:40:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:40:05 | evaluator | STEP 3: mtm start
2026-03-03 09:40:05 | evaluator | STEP 3: mtm end
2026-03-03 09:40:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:40:05 | evaluator | CYCLE END
2026-03-03 09:40:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:40:05 | evaluator | 
2026-03-03 09:41:05 | evaluator | 
2026-03-03 09:41:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:41:05 | evaluator | CYCLE START
2026-03-03 09:41:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:41:05 | evaluator | STEP 1: updater start
2026-03-03 09:41:05 | spot_updater | API status 400
2026-03-03 09:41:05 | spot_updater | Candle not yet available: 2026-03-03 09:40:00
2026-03-03 09:41:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:41:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:41:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:41:05 | evaluator | STEP 3: mtm start
2026-03-03 09:41:05 | evaluator | STEP 3: mtm end
2026-03-03 09:41:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:41:05 | evaluator | CYCLE END
2026-03-03 09:41:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:41:05 | evaluator | 
2026-03-03 09:42:05 | evaluator | 
